subcategory,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Academic Institutions,0.5424674519528828,0.5837945539074607,0.6240344622697563,0.6552132000709682,0.6650724929520742,0.6891559530463947,0.7548203207958419,0.7665363310524601,0.7710174717368962,0.7641412410010284,0.7836474966982832,0.8160592255125285
Aerospace,0.6370070778564206,0.7046448087431694,0.6820379323168464,0.7541379951645899,0.6891655319976658,0.7050488924366394,0.6985337243401759,0.7096607096607097,0.6933174224343676,0.7072124756335283,0.7057926829268293,0.5973802137194071
Architectural,0.6159420289855072,0.6088386727688787,0.6834095634095634,0.6985253583241455,0.6757760679225259,0.7153570819839782,0.740391254315305,0.7213398493178579,0.7263544536271809,0.7194766073613856,0.6985214007782101,0.7296349762837698
Consumer Products / Electronics,0.6067828397280612,0.6184123214472811,0.6348979489494008,0.6779401767505099,0.6505099913843417,0.6169117944977919,0.6252640676013059,0.6308922558922558,0.6156371971996778,0.626070763500931,0.596399652010975,0.6490384615384616
Government / Military,0.17801922273297116,0.1461794019933555,0.3923076923076923,0.3959704767604229,0.40625,0.471875,0.2397062096594703,0.4437548487199379,0.5420792079207921,0.31465403841094447,0.2501505721742622,0.3229107447413303
Home & DIY (Consumer / Hobbyist),0.632762312633833,0.6329835766423357,0.6460148692941082,0.6764576939938624,0.6581774771189813,0.6280168560847912,0.6491735537190083,0.6533212977220836,0.6467750654967356,0.6103656932386214,0.6127129206481097,0.6251034690345398
Industrial / Business Machines,0.5278647463994991,0.5359544749094671,0.5752910251595944,0.6236773310095854,0.5962870963524644,0.5783302726373781,0.6018742442563483,0.6037593984962406,0.6423538373643115,0.6101153940584336,0.5846594525779758,0.6199261992619927
Medical / Dental,0.7544397804326768,0.8168747411395776,0.8297046538276716,0.847037484885127,0.8033286531283175,0.8050474459923279,0.8196823869104909,0.797827013208351,0.8389045400368403,0.7646080266167602,0.7478309543800727,0.7858480749219563
Motor Vehicles / Automotive,0.6637055837563451,0.6786259541984733,0.6941206609453054,0.7206935544666415,0.6950219125744466,0.6902612826603325,0.7299270072992701,0.7260663507109004,0.699623352165725,0.6861092380310182,0.671301247771836,0.654178674351585
Other,0.4977084349098001,0.44543799952520374,0.5028293646272455,0.5640464344941957,0.5475334115776322,0.5035340529286066,0.48712933753943216,0.50985066255346,0.5117924528301887,0.4465434083601286,0.42156772227864464,0.4697743148844707
Power / Energy,0.5804749340369393,0.644747393744988,0.6448402304871661,0.7319066147859922,0.7073072264836496,0.7320234113712375,0.7181008902077152,0.6802110817941952,0.6995515695067265,0.7099715099715099,0.6744985673352436,0.7184628237259816
