subcategory,Academic Institutions,Aerospace,Architectural,Consumer Products / Electronics,Government / Military,Home & DIY,Home & DIY (Consumer / Hobbyist),Industrial / Business Machines,Medical / Dental,Motor Vehicles / Automotive,Other,Power / Energy
Academic Institutions,1.0,0.7916561732535162,0.8463680396609481,0.6048021141759065,0.2507443521081993,-0.06051657186224041,0.21280524438703882,0.9592478988345804,0.6533005023020909,0.8443238908465471,0.5843820578419785,0.8153804632448947
Aerospace,0.7916561732535162,1.0,0.8043526481573597,0.8757660816393184,0.2829042503716836,-0.3598105739288508,-0.045167827237669426,0.8076057073973326,0.6707956212157109,0.8760504083966806,0.8268952988021604,0.7200386362223413
Architectural,0.8463680396609481,0.8043526481573597,1.0,0.7081839958279741,0.28831632432847487,-0.028213788323403467,0.2750982704640047,0.8733812790035573,0.6068968341966975,0.8712988863132775,0.6657853032812732,0.8024543239802436
Consumer Products / Electronics,0.6048021141759065,0.8757660816393184,0.7081839958279741,1.0,0.37045970769373415,-0.49846858471692695,-0.18871562242176138,0.6677842397382937,0.6725766126610465,0.8864682072549109,0.9766764198523935,0.555407671352367
Government / Military,0.2507443521081993,0.2829042503716836,0.28831632432847487,0.37045970769373415,1.0,-0.27763674102015706,-0.15390621473988894,0.22065654524753,0.2299894917431314,0.27405050036423845,0.47990637280980786,0.1407991414315332
Home & DIY,-0.06051657186224041,-0.3598105739288508,-0.028213788323403467,-0.49846858471692695,-0.27763674102015706,1.0,0.935206198713114,-0.037524029179426946,-0.11467657221678058,-0.29613582310191067,-0.515150442381034,0.272582182540141
Home & DIY (Consumer / Hobbyist),0.21280524438703882,-0.045167827237669426,0.2750982704640047,-0.18871562242176138,-0.15390621473988894,0.935206198713114,1.0,0.2654044082625844,0.17112186048787148,0.039914457767595286,-0.21872509218066796,0.5733553672197067
Industrial / Business Machines,0.9592478988345804,0.8076057073973326,0.8733812790035573,0.6677842397382937,0.22065654524753,-0.037524029179426946,0.2654044082625844,1.0,0.8033912851849772,0.903575732048087,0.6568856843141468,0.8931689892058053
Medical / Dental,0.6533005023020909,0.6707956212157109,0.6068968341966975,0.6725766126610465,0.2299894917431314,-0.11467657221678058,0.17112186048787148,0.8033912851849772,1.0,0.7988802104645587,0.6674390580605922,0.781596045148414
Motor Vehicles / Automotive,0.8443238908465471,0.8760504083966806,0.8712988863132775,0.8864682072549109,0.27405050036423845,-0.29613582310191067,0.039914457767595286,0.903575732048087,0.7988802104645587,1.0,0.8471163344752866,0.7868261457860647
Other,0.5843820578419785,0.8268952988021604,0.6657853032812732,0.9766764198523935,0.47990637280980786,-0.515150442381034,-0.21872509218066796,0.6568856843141468,0.6674390580605922,0.8471163344752866,1.0,0.514600880956891
Power / Energy,0.8153804632448947,0.7200386362223413,0.8024543239802436,0.555407671352367,0.1407991414315332,0.272582182540141,0.5733553672197067,0.8931689892058053,0.781596045148414,0.7868261457860647,0.514600880956891,1.0
