Author ID,Total Engagement,Date,tweet_id,row_num,Normalized Text,langdetect_is_english,Year
@donttrythis,207,2012-11-14 18:57:16+00:00,@donttrythis_2012-11-14 18:57:16+00:00,42639,"yay! my makerbot replicator 2 is packed, shipped and on it's way to me. i can hardly wait!

gonna get some  3d printing  done.",True,2012
@themarginalian,21,2012-06-02 17:00:50+00:00,@themarginalian_2012-06-02 17:00:50+00:00,150412,ooh! mit alums nervous system's gorgeous  3d-printed  biology-inspired jewelry is back on  @fab   i have the red vessel one,True,2012
@EFF,64,2012-12-14 19:51:11+00:00,@EFF_2012-12-14 19:51:11+00:00,10264,. @eff  is targeting dangerous  3d printing  patent applications and we need your help.,True,2012
@paleofuture,21,2012-08-02 03:44:33+00:00,@paleofuture_2012-08-02 03:44:33+00:00,119345,a  3d printer  that only prints 3d printers,True,2012
@medialab,23,2012-08-15 20:20:19+00:00,@medialab_2012-08-15 20:20:19+00:00,105660,another look at neri oxman’s incredible  #3d  printed works:,True,2012
@mashable,39,2012-02-27 12:35:03+00:00,@mashable_2012-02-27 12:35:03+00:00,203674,mashable video: smithsonian uses  3d printer  to clone exhibit statue -,True,2012
@mashable,37,2012-10-31 13:36:11+00:00,@mashable_2012-10-31 13:36:11+00:00,50243,inside shapeways' new  3d printing  facility [photos],True,2012
@EFF,23,2012-09-29 12:13:51+00:00,@EFF_2012-09-29 12:13:51+00:00,70627,eff is in the maker pavilion  @makerfaire  ny this weekend! find us near the arduino stage &  3d printer  village.,True,2012
@verge,27,2012-07-16 21:29:29+00:00,@verge_2012-07-16 21:29:29+00:00,132251,3d printed  key used to open handcuffs,True,2012
@verge,78,2012-11-30 09:49:50+00:00,@verge_2012-11-30 09:49:50+00:00,25398,is  3d printing  going mainstream?,True,2012
@EricTopol,70,2013-11-11 14:06:15+00:00,@EricTopol_2013-11-11T14:06:15.000Z,6039337,85 motion sensors  @ashtonjeaton   to create physical models of his body w/  3d printer,True,2013
@Mark_J_Perry,28,2013-10-30 19:15:46+00:00,@Mark_J_Perry_2013-10-30T19:15:46.000Z,5645160,"video: dad makes his son a prosthetic hand with  3d printer  for only $5 vs. $20,000 for traditional prosthetic hand   dad-makes-his-son-a-prosthetic-hand-with-3d-printer-for-only-5-vs-20000-for-traditional-prosthetic-hand/ ...",True,2013
@arstechnica,48,2013-07-08 19:31:08+00:00,@arstechnica_2013-07-08T19:31:08.000Z,5928200,3d printing  for all: inside chicago library’s new “pop-up maker lab”    by  @ejacqui,True,2013
@polygnsndwch,24,2013-05-05 18:12:51+00:00,@polygnsndwch_2013-05-05T18:12:51.000Z,6183818,i took a radioactive lens from a ww2 bomber and  3d printed  an adapter for my camera.  blog post   #3dprining,True,2013
@Gizmodo,46,2013-05-09 18:38:38+00:00,@Gizmodo_2013-05-09T18:38:38.000Z,5838450,"100,000 people have already downloaded  3d-printed  gun plans. so what?",True,2013
@AVS3DPrint,20,2013-11-25 17:15:59+00:00,@AVS3DPrint_2013-11-25T17:15:59.000Z,6081721,"beaded victorian themed sewing, quilting, & needle-working set   #etsymnt #scissorfob",True,2013
@HuffPost,58,2013-10-16 19:31:19+00:00,@HuffPost_2013-10-16T19:31:19.000Z,5736059,the kitchen of 2063 will have  3d printed  food,True,2013
@AVS3DPrint,20,2013-12-07 05:15:51+00:00,@AVS3DPrint_2013-12-07T05:15:51.000Z,5794240,"beaded orange haunted house multi use (zipper pull, key ring or small scissors)   #etsymnt #quilting",True,2013
@GreatDismal,354,2013-05-11 03:59:09+00:00,@GreatDismal_2013-05-11T03:59:09.000Z,5813146,but don't bring a  3d printer  to a gunfight.,True,2013
@JamesDeAngelis,35,2013-01-21 22:32:21+00:00,@JamesDeAngelis_2013-01-21T22:32:21.000Z,5692081,"just using a  3d printer  to build an entire house, no big deal —   ch-architects-to-use-3d-printer-to-build-a-house/?utm_source=dlvr.it&utm_medium=linkedin ...",True,2013
@TheSims,258,2014-07-11 19:36:15+00:00,@TheSims_2014-07-11T19:36:15.000Z,5378564,that is so cool! rt  @h_lebanna : whoo! my  3d printed  plumbob necklace arrived! love it!  @thesims @shapeways,True,2014
@3DPrintGirl,30,2014-09-12 09:57:04+00:00,@3DPrintGirl_2014-09-12T09:57:04.000Z,5128894,the “synapse dress”: intuitive  3d printed  wearable body response dress by anouk wipprecht   dress-anouk-wipprecht/ ...,True,2014
