year,subcategory,count,mau,social_norm,wohlers_pct,diff_pct
2012,Academic Institutions,3226,185000000.0,0.01743783783783784,6.8,-6.782562162162162
2012,Aerospace,989,185000000.0,0.005345945945945946,10.2,-10.194654054054054
2012,Architectural,2898,185000000.0,0.015664864864864864,3.9,-3.884335135135135
2012,Consumer Products / Electronics,12797,185000000.0,0.06917297297297298,20.3,-20.23082702702703
2012,Government / Military,2393,185000000.0,0.012935135135135134,5.2,-5.187064864864865
2012,Industrial / Business Machines,1597,185000000.0,0.008632432432432433,13.4,-13.391367567567569
2012,Medical / Dental,6194,185000000.0,0.033481081081081075,16.4,-16.366518918918917
2012,Motor Vehicles / Automotive,1576,185000000.0,0.008518918918918919,18.6,-18.59148108108108
2012,Other,10255,185000000.0,0.055432432432432434,3.6,-3.544567567567568
2013,Academic Institutions,9034,241000000.0,0.03748547717842324,6.4,-6.362514522821577
2013,Aerospace,3660,241000000.0,0.015186721991701246,12.3,-12.284813278008299
2013,Architectural,6992,241000000.0,0.029012448132780082,3.8,-3.77098755186722
2013,Consumer Products / Electronics,28633,241000000.0,0.11880912863070539,18.0,-17.881190871369295
2013,Government / Military,10535,241000000.0,0.04371369294605809,5.4,-5.356286307053942
2013,Industrial / Business Machines,3866,241000000.0,0.016041493775933613,18.5,-18.483958506224067
2013,Medical / Dental,16901,241000000.0,0.07012863070539418,13.7,-13.629871369294605
2013,Motor Vehicles / Automotive,3930,241000000.0,0.016307053941908716,17.3,-17.283692946058093
2013,Other,25274,241000000.0,0.1048713692946058,4.5,-4.395128630705394
2014,Academic Institutions,13464,288000000.0,0.04675,7.0,-6.95325
2014,Aerospace,5378,288000000.0,0.018673611111111113,10.0,-9.981326388888888
2014,Architectural,12025,288000000.0,0.04175347222222222,4.0,-3.958246527777778
2014,Consumer Products / Electronics,39882,288000000.0,0.13847916666666665,22.0,-21.861520833333334
2014,Government / Military,6110,288000000.0,0.021215277777777777,6.0,-5.978784722222223
2014,Industrial / Business Machines,5326,288000000.0,0.018493055555555554,14.0,-13.981506944444444
2014,Medical / Dental,27053,288000000.0,0.09393402777777778,16.0,-15.906065972222223
2014,Motor Vehicles / Automotive,7807,288000000.0,0.02710763888888889,18.0,-17.97289236111111
2014,Other,26331,288000000.0,0.09142708333333334,4.0,-3.9085729166666665
2015,Academic Institutions,16909,320000000.0,0.052840624999999995,10.5,-10.447159375
2015,Aerospace,5377,320000000.0,0.016803125,16.6,-16.583196875000002
2015,Architectural,14512,320000000.0,0.045349999999999994,3.1,-3.05465
2015,Consumer Products / Electronics,41188,320000000.0,0.12871249999999998,13.1,-12.971287499999999
2015,Government / Military,5013,320000000.0,0.015665625,5.9,-5.884334375000001
2015,Industrial / Business Machines,8033,320000000.0,0.025103124999999997,19.9,-19.874896874999997
2015,Medical / Dental,34734,320000000.0,0.10854375000000001,12.2,-12.091456249999998
2015,Motor Vehicles / Automotive,10612,320000000.0,0.0331625,13.8,-13.766837500000001
2015,Other,30150,320000000.0,0.09421874999999999,4.9,-4.805781250000001
2016,Academic Institutions,19864,319000000.0,0.06226959247648902,8.1,-8.03773040752351
2016,Aerospace,5141,319000000.0,0.016115987460815048,18.2,-18.183884012539185
2016,Architectural,11307,319000000.0,0.03544514106583072,3.0,-2.9645548589341693
2016,Consumer Products / Electronics,35981,319000000.0,0.11279310344827587,12.8,-12.687206896551725
2016,Government / Military,5280,319000000.0,0.016551724137931035,6.2,-6.1834482758620695
2016,Industrial / Business Machines,7649,319000000.0,0.02397805642633229,18.8,-18.776021943573667
2016,Medical / Dental,29201,319000000.0,0.09153918495297805,11.0,-10.908460815047022
2016,Motor Vehicles / Automotive,8899,319000000.0,0.027896551724137932,14.8,-14.772103448275862
2016,Other,26413,319000000.0,0.08279937304075234,7.2,-7.117200626959248
2017,Academic Institutions,17890,330000000.0,0.05421212121212121,7.9,-7.845787878787879
2017,Aerospace,5011,330000000.0,0.015184848484848485,18.9,-18.88481515151515
