year,subcategory,count,social_pct,wohlers_pct,diff_pct
2012,Academic Institutions,3226,6.867628901094222,6.8,0.06762890109422237
2012,Aerospace,989,2.1054200195853023,10.2,-8.094579980414697
2012,Architectural,2898,6.169370289947631,3.9,2.269370289947631
2012,Consumer Products / Electronics,12797,27.242730020862606,20.3,6.942730020862605
2012,Government / Military,2393,5.094307489249372,5.2,-0.10569251075062791
2012,Industrial / Business Machines,1597,3.3997530548814234,13.4,-10.000246945118576
2012,Medical / Dental,6194,13.186017797079236,16.4,-3.2139822029207625
2012,Motor Vehicles / Automotive,1576,3.355047473070209,18.6,-15.244952526929792
2012,Other,10255,21.83122578447652,3.6,18.231225784476518
2013,Academic Institutions,9034,7.601817569841804,6.4,1.2018175698418032
2013,Aerospace,3660,3.079771120834736,12.3,-9.220228879165266
2013,Architectural,6992,5.883540895321441,3.8,2.083540895321441
2013,Consumer Products / Electronics,28633,24.09373948165601,18.0,6.093739481656009
2013,Government / Military,10535,8.864860316391788,5.4,3.4648603163917873
2013,Industrial / Business Machines,3866,3.253113429821609,18.5,-15.246886570178392
2013,Medical / Dental,16901,14.22164254459778,13.7,0.5216425445977801
2013,Motor Vehicles / Automotive,3930,3.306967351060249,17.3,-13.993032648939751
2013,Other,25274,21.267250084146752,4.5,16.767250084146752
2014,Academic Institutions,13464,8.532643826761474,7.0,1.5326438267614737
2014,Aerospace,5378,3.4082411245041,10.0,-6.5917588754959
2014,Architectural,12025,7.620695336958312,4.0,3.6206953369583124
2014,Consumer Products / Electronics,39882,25.274725274725274,22.0,3.2747252747252737
2014,Government / Military,6110,3.87213709013017,6.0,-2.12786290986983
2014,Industrial / Business Machines,5326,3.375286766290227,14.0,-10.624713233709773
2014,Medical / Dental,27053,17.144504860767835,16.0,1.1445048607678352
2014,Motor Vehicles / Automotive,7807,4.947589895686781,18.0,-13.052410104313218
2014,Other,26331,16.68694627172136,4.0,12.68694627172136
2015,Academic Institutions,16909,9.13678977656499,10.5,-1.3632102234350096
2015,Aerospace,5377,2.905465647205036,16.6,-13.694534352794966
2015,Architectural,14512,7.841569178396779,3.1,4.741569178396778
2015,Consumer Products / Electronics,41188,22.255964120714346,13.1,9.155964120714346
2015,Government / Military,5013,2.708777996920001,5.9,-3.191222003079999
2015,Industrial / Business Machines,8033,4.340637073460676,19.9,-15.559362926539322
2015,Medical / Dental,34734,18.768540782968145,12.2,6.568540782968146
2015,Motor Vehicles / Automotive,10612,5.734201496771404,13.8,-8.065798503228596
2015,Other,30150,16.291573231026938,4.9,11.391573231026937
2016,Academic Institutions,19864,11.69826210373197,8.1,3.5982621037319706
2016,Aerospace,5141,3.027626131458219,18.2,-15.17237386854178
2016,Architectural,11307,6.658892952421336,3.0,3.6588929524213363
2016,Consumer Products / Electronics,35981,21.189849413732382,12.8,8.389849413732382
2016,Government / Military,5280,3.109485698132542,6.2,-3.0905143018674583
